dataset,model,mean_rank,std_rank,median_rank,best_rank_count,n_runs
AMLSim,MLP,6.4,1.3063945294843615,7.0,1,30
AMLSim,GCN,3.933333333333333,0.5878397362849467,4.0,0,30
AMLSim,GAT,1.2,0.3785938897200183,1.0,22,30
AMLSim,GIN,1.9333333333333333,0.40276819911981904,2.0,2,30
AMLSim,RF,5.2,0.4,5.0,0,30
AMLSim,SVM,3.1,0.30000000000000004,3.0,0,30
AMLSim,XGB,6.233333333333333,0.42295258468165065,6.0,0,30
Elliptic,MLP,3.7,1.069267662156363,3.0,0,30
Elliptic,GCN,4.6,1.0832051206181281,4.0,0,30
Elliptic,GAT,6.866666666666666,0.33993463423951903,7.0,0,30
Elliptic,GIN,4.333333333333333,1.1055415967851334,4.0,0,30
Elliptic,RF,1.0,0.0,1.0,30,30
Elliptic,SVM,5.5,0.5627314338711378,6.0,0,30
Elliptic,XGB,2.0,0.0,2.0,0,30
IBM_AML_HiSmall,MLP,5.4,1.1135528725660042,5.5,0,30
IBM_AML_HiSmall,GCN,2.7666666666666666,0.989388138643722,3.0,2,30
IBM_AML_HiSmall,GAT,6.5,1.0567244989431572,7.0,0,30
IBM_AML_HiSmall,GIN,4.066666666666666,1.5477582354991866,4.0,0,30
IBM_AML_HiSmall,RF,2.933333333333333,0.813770374382247,3.0,0,30
IBM_AML_HiSmall,SVM,5.266666666666667,0.6798692684790381,5.0,0,30
IBM_AML_HiSmall,XGB,1.0666666666666667,0.24944382578492943,1.0,28,30
IBM_AML_LiSmall,MLP,5.7,1.1298967504452198,6.0,0,30
IBM_AML_LiSmall,GCN,4.2,1.4236104336041748,4.0,0,30
IBM_AML_LiSmall,GAT,4.433333333333334,1.430229196861662,4.0,0,30
IBM_AML_LiSmall,GIN,5.133333333333334,1.80246744461277,5.5,0,30
IBM_AML_LiSmall,RF,2.2,0.39999999999999997,2.0,0,30
IBM_AML_LiSmall,SVM,5.333333333333333,0.906764700582363,5.0,0,30
IBM_AML_LiSmall,XGB,1.0,0.0,1.0,30,30
IBM_AML_HiMedium,MLP,4.916666666666667,1.0253725610181348,4.5,0,30
IBM_AML_HiMedium,GCN,6.066666666666666,0.703957069398096,6.0,0,30
IBM_AML_HiMedium,GAT,6.45,0.7994789970140972,7.0,0,30
IBM_AML_HiMedium,GIN,4.566666666666666,0.5587684871413403,5.0,0,30
IBM_AML_HiMedium,RF,3.0,0.0,3.0,0,30
IBM_AML_HiMedium,SVM,2.0,0.0,2.0,0,30
IBM_AML_HiMedium,XGB,1.0,0.0,1.0,30,30
IBM_AML_LiMedium,MLP,4.766666666666667,0.989388138643722,4.0,0,30
IBM_AML_LiMedium,GCN,5.266666666666667,0.793025150224688,5.0,0,30
IBM_AML_LiMedium,GAT,6.083333333333333,0.8274794391537607,6.0,0,30
IBM_AML_LiMedium,GIN,5.883333333333334,1.085382677010996,6.0,0,30
IBM_AML_LiMedium,RF,2.0,0.0,2.0,0,30
IBM_AML_LiMedium,SVM,3.0,0.0,3.0,0,30
IBM_AML_LiMedium,XGB,1.0,0.0,1.0,30,30
