dataset,model,mean_rank,std_rank,median_rank,best_rank_count,n_runs
AMLSim,MLP,5.433333333333334,1.6265163865007803,6.0,2,30
AMLSim,GCN,6.666666666666667,1.0110500592068734,7.0,0,30
AMLSim,GAT,1.2333333333333334,0.42295258468165065,1.0,23,30
AMLSim,GIN,1.9333333333333333,0.5120763831912406,2.0,5,30
AMLSim,RF,4.233333333333333,0.42295258468165065,4.0,0,30
AMLSim,SVM,5.266666666666667,0.4422166387140533,5.0,0,30
AMLSim,XGB,3.2333333333333334,0.42295258468165065,3.0,0,30
Elliptic,MLP,3.7,0.6403124237432849,4.0,0,30
Elliptic,GCN,5.266666666666667,0.6289320754704404,5.0,0,30
Elliptic,GAT,6.966666666666667,0.17950549357115012,7.0,0,30
Elliptic,GIN,5.6,0.7118052168020874,6.0,0,30
Elliptic,RF,2.0,0.0,2.0,0,30
Elliptic,SVM,3.466666666666667,0.5617433182117573,3.0,0,30
Elliptic,XGB,1.0,0.0,1.0,30,30
IBM_AML_HiSmall,MLP,4.466666666666667,1.2310790208412925,4.5,0,30
IBM_AML_HiSmall,GCN,5.9,1.1930353445448854,6.0,0,30
IBM_AML_HiSmall,GAT,5.066666666666666,1.18133634311129,5.0,0,30
IBM_AML_HiSmall,GIN,5.666666666666667,1.6193277068654823,6.0,0,30
IBM_AML_HiSmall,RF,1.0,0.0,1.0,30,30
IBM_AML_HiSmall,SVM,3.8333333333333335,0.6871842709362769,4.0,0,30
IBM_AML_HiSmall,XGB,2.066666666666667,0.24944382578492943,2.0,0,30
IBM_AML_LiSmall,MLP,5.333333333333333,1.3498971154211057,5.0,0,30
IBM_AML_LiSmall,GCN,5.833333333333333,1.3924399049470282,6.0,0,30
IBM_AML_LiSmall,GAT,5.5,1.5,6.0,0,30
IBM_AML_LiSmall,GIN,2.933333333333333,1.2364824660660938,3.0,3,30
IBM_AML_LiSmall,RF,1.1,0.30000000000000004,1.0,27,30
IBM_AML_LiSmall,SVM,2.7,0.7810249675906655,3.0,0,30
IBM_AML_LiSmall,XGB,4.6,0.8793937305515279,4.5,0,30
IBM_AML_HiMedium,MLP,5.233333333333333,1.2565384549980512,5.0,0,30
IBM_AML_HiMedium,GCN,5.733333333333333,1.0934146311237816,6.0,0,30
IBM_AML_HiMedium,GAT,5.466666666666667,1.1469767022723503,5.0,0,30
IBM_AML_HiMedium,GIN,5.566666666666666,0.8825468196582484,5.5,0,30
IBM_AML_HiMedium,RF,3.0,0.0,3.0,0,30
IBM_AML_HiMedium,SVM,2.0,0.0,2.0,0,30
IBM_AML_HiMedium,XGB,1.0,0.0,1.0,30,30
IBM_AML_LiMedium,MLP,5.533333333333333,1.3597385369580761,5.0,0,30
IBM_AML_LiMedium,GCN,5.833333333333333,0.8198915917499229,6.0,0,30
IBM_AML_LiMedium,GAT,4.633333333333334,0.7520342781785652,4.5,0,30
IBM_AML_LiMedium,GIN,6.0,0.8944271909999159,6.0,0,30
IBM_AML_LiMedium,RF,1.0,0.0,1.0,30,30
IBM_AML_LiMedium,SVM,2.0,0.0,2.0,0,30
IBM_AML_LiMedium,XGB,3.0,0.0,3.0,0,30
